uid,시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,취급품목,점포수,홈페이지주소,시도군
0b80e788-da29-473a-920f-508be6e57df6,남성역골목시장,서울특별시 동작구 사당동 267-4,서울특별시 동작구 사당로 16가길 19,"{'latitude': '37.4829871', 'longitude': '126.9723133'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",78,www.nssagye.com,서울
1aa5a878-13ba-4514-809c-1e0a52e1b6b2,본동인정시장,서울특별시 동작구 본동 187-1,서울특별시 동작구 매봉로 177,"{'latitude': '37.5122157', 'longitude': '126.9519020'}",매일,상설장,"농산물,축산물,가공식품,가정용품",30,,서울
a8b66f8d-ef77-4313-8f24-d153ca5183fb,사당시장,서울특별시 동작구 사당동 318-8 사당시장,서울특별시 동작구 사당로244,"{'latitude': '37.4828663', 'longitude': '126.9749978'}",매일,상설장,"음식점업,근린생활서비스업",18,,서울
4e3d79d8-4a75-4235-90d1-27599e2e0f8c,상도전통시장,서울특별시 동작구 상도동 464-33,서울특별시 동작구 상도로 47길 8,"{'latitude': '37.4996751', 'longitude': '126.9515589'}",매일,상설장,"축산물,수산물,음식점업,기타소매업",73,,서울
9dd37573-5db8-4b08-a432-488794de89d5,성대시장,서울특별시 동작구 상도동 324-1 성대시장,서울특별시 동작구상도로102,"{'latitude': '37.4999765', 'longitude': '126.9317592'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",43,,서울
2297e5fb-6fa1-4a20-a0c8-b6c9a7365efc,성대전통시장,서울특별시 동작구 상도동 324-68,서울특별시 동작구 국사봉1길 41,"{'latitude': '37.4992169', 'longitude': '126.9307820'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",104,,서울
c86fbf32-1b88-4a4b-b3a4-43472fa29d80,공덕시장,서울특별시 마포구 공덕동 256-10,서울특별시 마포구 만리재로 19 (공덕동),"{'latitude': '37.5448119', 'longitude': '126.9533786'}",매일,상설장,"농산물,축산물,기타소매업",170,,서울
32e598a8-1459-4956-8981-f251ea856970,동진시장,서울특별시 마포구 연남동 227-15,서울특별시 마포구 성미산로 198 (연남동),"{'latitude': '37.5623930', 'longitude': '126.9267426'}",매일,상설장,"기타소매업,근린생활서비스업",19,,서울
43f3b87d-d054-4e22-aa8c-61a2614f2e09,마포농수산물시장,서울특별시 마포구 성산동 533-1,서울특별시 마포구 월드컵로 235 (성산동),"{'latitude': '37.5650975', 'longitude': '126.8981461'}",매일,상설장,"농산물,축산물,수산물,가공식품",121,,서울
adbd42b0-5c67-432f-958d-63a24dcc6044,마포시장,"서울특별시 마포구 공덕동 256-5, 256-30","서울특별시 마포구 마포대로6길 16, 만리재로 23(공덕동)","{'latitude': '37.5451964', 'longitude': '126.9533142'}",매일,상설장,"농산물,가공식품,기타소매업",90,,서울
32fd31d1-aaf3-474a-ab01-b19d074185fb,망원동월드컵시장,서울특별시 마포구 망원동 424-7,서울특별시 마포구 망원로7길 3~31 (망원동),"{'latitude': '37.5587148', 'longitude': '126.9050525'}",매일,상설장,"농산물,축산물,수산물,가공식품",50,,서울
b4b4ac94-2bd1-4c39-a872-a205ad8e9dee,망원시장,서울특별시 마포구 망원동 486-37,서울특별시 마포구 망원로8길 3~70 (망원동),"{'latitude': '37.5571674', 'longitude': '126.9059907'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",79,,서울
c1493d6b-0e19-419f-9f22-fd1203323f83,서교시장,서울특별시 마포구 서교동 375-1,서울특별시 마포구 홍익로3길 20 (서교동),"{'latitude': '37.5546647', 'longitude': '126.9188508'}",매일,상설장,"축산물,의류/신발,기타소매업,근린생활서비스",63,,서울
5381ac41-44a9-44cc-9798-10de651282af,아현시장,서울특별시 마포구 아현동 327-40,서울특별시 마포구 아현동 굴레방로 7길 8,"{'latitude': '37.5563938', 'longitude': '126.9550612'}",매일,상설장,"농산물,축산물,수산물,의류/신발,기타소매업",150,,서울
29b6fb97-045a-4e29-ba1c-fdacc9091d49,영진시장,서울특별시 마포구 서교동 485-14,서울특별시 마포구 동교로12길 21 (서교동),"{'latitude': '37.5534725', 'longitude': '126.9126817'}",매일,상설장,"가공식품,기타소매업",61,,서울
ab90e99b-dc59-4d21-94c2-778adb6eeba3,백련시장,서울특별시 서대문구 남가좌동 345-4,"서울특별시 서대문구 가재울로6길 53-87(남가좌동, 백련시장아파트)","{'latitude': '37.5770173', 'longitude': '126.9231131'}",매일,상설장,"농산물,축산물,가공식품",66,,서울
