시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
곤양종합시장,경상남도 사천시 곤양면 남문외리 48-4,경상남도 사천시 곤양면 남산로 65,"{'latitude': '35.0566243', 'longitude': '127.9632145'}",정기,전통시장,소형시장,99,경남,사천시
삼천포종합시장,경상남도 사천시 동금동88-4,경상남도 사천시 새시장길 19,"{'latitude': '34.9321224', 'longitude': '128.0786584'}",정기,전통시장,중형시장,296,경남,사천시
완사시장,경상남도 사천시 정곡리 842,경상남도 사천시 완사2길12,"{'latitude': '35.1311525', 'longitude': '127.9763146'}",상설+정기,전통시장,소형시장,109,경남,사천시
서창시장,경상남도 양산시 삼호동 524,경상남도 양산시 서창서2길 5,"{'latitude': '35.4163576', 'longitude': '129.1720026'}",정기,전통시장,소형시장,198,경남,양산시
신평시장,경상남도 양산시 하북면 순지리 575,경상남도 양산시 하북면 신평강변3길 11,"{'latitude': '35.4908483', 'longitude': '129.0859620'}",정기,전통시장,소형시장,69,경남,양산시
일반성상가(일반성시장),경상남도 진주시 일반성면 창촌리 92번지,경상남도 진주시 동부로1993번길 27,"{'latitude': '35.1712097', 'longitude': '128.2821864'}",정기,전통시장,중형시장,79,경남,진주시
자유시장,경상남도 진주시 상대동 276-9,경상남도 진주시 도동천로95,"{'latitude': '35.1801802', 'longitude': '128.1103136'}",상설,전통시장,중형시장,90,경남,진주시
진주중앙시장,경상남도 진주시 대안동 6-11,경상남도 진주시 촉석로 202번길4-2,"{'latitude': '35.1952735', 'longitude': '128.0839862'}",상설,전통시장,중대형시장,233,경남,진주시
경화시장,경상남도 창원시 진해구 경화동 906,경상남도 창원시 진해구 경화로 38번길,"{'latitude': '35.1570362', 'longitude': '128.6904113'}",상설+정기,전통시장,중형시장,336,경남,창원시
마산어시장,경상남도 창원시 마산합포구 동성동 314,경상남도 창원시 마산합포구 복요리로 7,"{'latitude': '35.2037654', 'longitude': '128.5789600'}",상설,전통시장,대형시장,93,경남,창원시
상남시장,경상남도 창원시 성산구 상남동 16,경상남도 창원시 성산구 마디미로28,"{'latitude': '35.2222080', 'longitude': '128.6833608'}",상설+정기,전통시장,중대형시장,200,경남,창원시
서호시장,경상남도 통영시 서호동 163-42,경상남도 통영시 새터길 58-9,"{'latitude': '34.8413615', 'longitude': '128.4201033'}",상설,전통시장,중형시장,126,경남,통영시
하동공설시장,경상남도 하동군 하동읍 읍내리 258-1,경상남도 하동군 하동읍 시장 1길 12-2,"{'latitude': '35.0700180', 'longitude': '127.7483845'}",상설+정기,전통시장,중형시장,69,경남,하동군
자인공설시장,경상북도 경산시 자인면 서부리 254,경상북도 경산시 자인면 자인로 206-4,"{'latitude': '35.8164754', 'longitude': '128.8229959'}",상설+정기,전통시장,중형시장,99,경북,경산시
경주중앙시장,경상북도 경주시 성건동 339-2,경상북도 경주시 금성로 295,"{'latitude': '35.8440274', 'longitude': '129.2063261'}",상설+정기,전통시장,중대형시장,198,경북,경주시
불국시장,경상북도 경주시 구정동 429-7,경상북도 경주시 불국로 장터길 24,"{'latitude': '35.7759834', 'longitude': '129.3009816'}",상설+정기,전통시장,소형시장,178,경북,경주시
